CODI_INTERN,TIPUS_OCUPACIO,DATA_INICI,DATA_FI,DURADA,LAT,LNG,WKT
"5120700911330021607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5475034957616","2,44579491087278","POINT (2.44579491087278 41.5475034957616)"
"5120700911227709107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,532704103294","2,43736829304569","POINT (2.43736829304569 41.532704103294)"
"5120700911411111607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5456401656678","2,44568176858973","POINT (2.44568176858973 41.5456401656678)"
"5120700911216625607130","TERRASSES DE BAR","06/06/2014","31/12/2018","365","41,5403537969339","2,43490081814359","POINT (2.43490081814359 41.5403537969339)"
"5120700911301477607130","TERRASSES DE BAR","05/08/2014","31/12/2018","365","41,532609420805","2,43553320008832","POINT (2.43553320008832 41.532609420805)"
"5120700911124284107130","TERRASSES DE BAR","16/04/2014","31/12/2018","365","41,5410083590821","2,45110954430815","POINT (2.45110954430815 41.5410083590821)"
"5120700911226720107130","TERRASSES DE BAR","01/01/2014","22/12/2017","365","41,5440865660637","2,45053956572919","POINT (2.45053956572919 41.5440865660637)"
"5120700910789185107130","TERRASSES DE BAR","12/02/2014","31/12/2018","365","41,5390546129172","2,44710895173977","POINT (2.44710895173977 41.5390546129172)"
"5120700911358635607130","TERRASSES DE BAR","14/07/2015","31/12/2019","365","41,5385674126154","2,44143868809478","POINT (2.44143868809478 41.5385674126154)"
"5120700911195704107130","RESERVES D' ESTACIONAMENT","21/05/2014","31/05/2041","365","41,5453964041345","2,45029815941303","POINT (2.45029815941303 41.5453964041345)"
"5120700911402343107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5385275743089","2,44786515523526","POINT (2.44786515523526 41.5385275743089)"
