CODI_INE,NOMBRE_HABITANTS,NOMBRE_DONES,NOMBRE_HOMES,DONES_00_16,HOMES_00_16,DONES_17_29,HOMES_17_29,DONES_30_49,HOMES_30_49,DONES_50_69,HOMES_50_69,DONES_70,HOMES_70,NOMBRE_VEHICLES,LAT,LNG,WKT
"1-6-03","359","189","170","35","30","20","18","63","63","44","36","27","23","150","41,5409248542929","2,43920130091984","POINT (2.43920130091984 41.5409248542929)"
"1-7-10","261","139","122","31","29","16","11","49","39","21","25","22","18","130","41,5400181329126","2,4372679952823","POINT (2.4372679952823 41.5400181329126)"
"1-7-07","182","92","90","7","13","14","20","21","17","31","27","19","13","95","41,5402199790891","2,43816205175047","POINT (2.43816205175047 41.5402199790891)"
"6-8-08","261","136","125","33","38","14","12","55","49","24","25","10","1","120","41,540138326525","2,43196415157502","POINT (2.43196415157502 41.540138326525)"
"1-7-04","197","103","94","18","17","12","14","32","30","33","25","8","8","93","41,540068554447","2,4393584884817","POINT (2.4393584884817 41.540068554447)"
"5-17-02","390","201","189","41","44","28","20","69","75","42","33","21","17","113","41,5398946778083","2,42382729314787","POINT (2.42382729314787 41.5398946778083)"
"5-6-01","377","197","180","29","27","24","30","57","52","63","57","24","14","154","41,5415233101622","2,42115898398258","POINT (2.42115898398258 41.5415233101622)"
"5-1-01","444","228","216","65","44","21","33","92","92","29","34","21","13","123","41,5418169877492","2,42852398341441","POINT (2.42852398341441 41.5418169877492)"
"5-16-05","325","155","170","27","28","17","19","49","79","43","27","19","17","105","41,5417150156597","2,42340585734115","POINT (2.42340585734115 41.5417150156597)"
"2-9-10","254","126","128","20","29","12","14","64","59","22","19","8","7","121","41,5417360985277","2,44970331151433","POINT (2.44970331151433 41.5417360985277)"
"5-20-02","290","136","154","37","46","18","22","51","54","16","27","14","5","54","41,541931406447","2,42790669161207","POINT (2.42790669161207 41.541931406447)"
"2-11-09","46","14","32","8","21","3","10","1","0","2","1","0","0","6","41,5420656961323","2,45261775240987","POINT (2.45261775240987 41.5420656961323)"
"1-5-02","57","32","25","6","2","3","4","9","5","6","9","8","5","30","41,5418840641924","2,44300178547136","POINT (2.44300178547136 41.5418840641924)"
"5-16-04","227","118","109","20","12","15","14","31","37","26","27","26","19","96","41,5416876454887","2,42482675311436","POINT (2.42482675311436 41.5416876454887)"
"1-9-02","233","124","109","18","19","15","14","41","37","32","25","18","14","112","41,5419855673817","2,43896176609654","POINT (2.43896176609654 41.5419855673817)"
"2-10-12","219","111","108","14","13","23","15","48","52","16","23","10","5","78","41,5409701055466","2,45057186718773","POINT (2.45057186718773 41.5409701055466)"
"5-6-02","412","207","205","43","38","17","20","53","71","62","48","32","28","159","41,5411401718134","2,42217754225322","POINT (2.42217754225322 41.5411401718134)"
"1-6-07","400","206","194","22","25","30","22","44","62","72","55","38","30","257","41,5409355405086","2,43683129262011","POINT (2.43683129262011 41.5409355405086)"
"5-15-05","231","111","120","25","27","10","14","30","33","25","31","21","15","83","41,5410926306279","2,42621493677839","POINT (2.42621493677839 41.5410926306279)"
"5-1-03","302","164","138","35","33","24","15","56","54","30","25","19","11","118","41,5411699702612","2,42840097069089","POINT (2.42840097069089 41.5411699702612)"
"5-1-12","365","195","170","49","42","19","16","64","62","44","34","19","16","167","41,5412063508989","2,4345344594471","POINT (2.4345344594471 41.5412063508989)"
"2-11-11","337","166","171","34","42","17","19","56","60","25","32","34","18","137","41,5411962834364","2,45300980151138","POINT (2.45300980151138 41.5411962834364)"
"1-5-04","206","106","100","17","19","17","17","31","28","30","30","11","6","97","41,5411778577351","2,44170104467768","POINT (2.44170104467768 41.5411778577351)"
"1-3-07","174","90","84","9","11","15","16","27","23","20","23","19","11","85","41,5412031489024","2,44530709235038","POINT (2.44530709235038 41.5412031489024)"
"1-5-01","100","66","34","13","5","6","3","17","14","8","5","22","7","36","41,5413442520476","2,44342517418366","POINT (2.44342517418366 41.5413442520476)"
"2-9-01","181","97","84","19","12","11","17","29","23","29","22","9","10","88","41,5411559999047","2,44721901010284","POINT (2.44721901010284 41.5411559999047)"
"1-6-04","213","123","90","17","13","19","13","27","28","33","20","27","16","102","41,5414659082159","2,43912936687102","POINT (2.43912936687102 41.5414659082159)"
"2-3-16","223","109","114","30","37","1","1","58","56","15","13","5","7","115","41,5414698112962","2,45401272160943","POINT (2.45401272160943 41.5414698112962)"
"1-3-08","42","19","23","1","6","1","4","4","3","7","8","6","2","19","41,5417070585599","2,44532172349072","POINT (2.44532172349072 41.5417070585599)"
"2-11-03","246","135","111","26","19","16","11","45","38","22","27","26","16","139","41,5414817468393","2,45144280690097","POINT (2.45144280690097 41.5414817468393)"
"4-6-01","232","123","109","19","16","11","15","25","34","42","30","26","14","114","41,5414810329221","2,43588064372235","POINT (2.43588064372235 41.5414810329221)"
"1-6-02","183","91","92","16","18","12","10","30","38","21","15","12","11","92","41,5416200342299","2,44051921337206","POINT (2.44051921337206 41.5416200342299)"
"5-16-03","97","56","41","3","4","9","7","17","8","15","10","12","12","29","41,5415368931146","2,42521104611411","POINT (2.42521104611411 41.5415368931146)"
"1-3-09","35","17","18","1","2","1","3","2","3","6","7","7","3","16","41,5416486364625","2,44435610889695","POINT (2.44435610889695 41.5416486364625)"
"1-6-06","245","125","120","12","23","19","14","42","44","32","30","20","9","107","41,5415456184114","2,43774488653248","POINT (2.43774488653248 41.5415456184114)"
"1-5-05","104","58","46","9","7","9","5","13","17","17","13","10","4","41","41,5417294440389","2,44179842408239","POINT (2.44179842408239 41.5417294440389)"
"5-15-03","221","115","106","23","18","15","14","29","39","30","28","18","7","84","41,5416252649432","2,42588303431167","POINT (2.42588303431167 41.5416252649432)"
"2-3-01","293","150","143","21","31","27","15","52","56","44","29","6","12","140","41,5417401133504","2,45513792965847","POINT (2.45513792965847 41.5417401133504)"
"2-9-05","71","42","29","9","5","2","0","14","12","10","11","7","1","27","41,5420855430575","2,44824190788135","POINT (2.44824190788135 41.5420855430575)"
"2-11-02","175","88","87","12","17","8","8","34","39","17","16","17","7","83","41,5421017579426","2,45062516789333","POINT (2.45062516789333 41.5421017579426)"
"5-15-02","343","161","182","25","34","18","35","48","53","48","45","22","15","129","41,5420565557743","2,4263791120383","POINT (2.4263791120383 41.5420565557743)"
"1-9-01","156","87","69","22","18","7","11","25","17","21","13","12","10","79","41,542251789436","2,44035434475642","POINT (2.44035434475642 41.542251789436)"
"1-9-03","145","82","63","17","13","11","7","20","15","21","20","13","8","73","41,5428232649575","2,44018035095568","POINT (2.44018035095568 41.5428232649575)"
"2-9-03","145","75","70","7","12","10","12","24","20","21","20","13","6","43","41,5427793811205","2,44741640223972","POINT (2.44741640223972 41.5427793811205)"
"5-5-03","274","144","130","17","24","23","26","52","40","37","34","15","6","124","41,5427645212096","2,42281045323272","POINT (2.42281045323272 41.5427645212096)"
"1-9-05","414","218","196","22","29","29","30","56","57","68","58","43","22","218","41,5426127019759","2,43897242984299","POINT (2.43897242984299 41.5426127019759)"
"2-11-08","373","184","189","42","32","19","26","70","82","39","35","14","14","148","41,5427223372865","2,45231128997017","POINT (2.45231128997017 41.5427223372865)"
"4-6-04","258","131","127","33","38","8","10","51","55","25","16","14","8","130","41,5429870737974","2,43393849630062","POINT (2.43393849630062 41.5429870737974)"
"5-3-03","134","59","75","9","8","5","17","26","31","12","13","7","6","56","41,5430505831361","2,42636801705664","POINT (2.42636801705664 41.5430505831361)"
"1-5-09","148","79","69","9","10","12","6","26","27","23","17","9","9","67","41,5430537569105","2,44124986013965","POINT (2.44124986013965 41.5430537569105)"
"2-9-08","251","136","115","24","22","14","16","46","39","36","31","16","7","122","41,5429633612686","2,44830827011664","POINT (2.44830827011664 41.5429633612686)"
"5-4-04","74","39","35","2","4","8","8","10","8","12","9","7","6","40","41,5431531637078","2,42433317801981","POINT (2.42433317801981 41.5431531637078)"
"2-9-04","44","21","23","5","2","3","3","5","12","5","5","3","1","25","41,5424538297375","2,44769944598189","POINT (2.44769944598189 41.5424538297375)"
"5-5-02","226","119","107","27","27","16","17","43","39","22","16","11","8","86","41,5423161785566","2,42320673416195","POINT (2.42320673416195 41.5423161785566)"
"2-9-07","218","119","99","18","15","7","6","37","35","37","34","20","9","91","41,5423978320893","2,44924229752437","POINT (2.44924229752437 41.5423978320893)"
"5-2-01","333","158","175","39","36","28","29","41","65","35","27","15","18","93","41,542418698261","2,42820523833546","POINT (2.42820523833546 41.542418698261)"
"2-12-01","65","34","31","4","8","5","4","11","9","4","5","10","5","33","41,5424395773646","2,44645691609121","POINT (2.44645691609121 41.5424395773646)"
"2-11-06","206","104","102","18","20","12","14","42","43","18","13","14","12","102","41,542372039145","2,45134916199264","POINT (2.45134916199264 41.542372039145)"
"1-5-07","109","60","49","13","10","8","5","16","20","14","9","9","5","53","41,5425841838099","2,4414246130749","POINT (2.4414246130749 41.5425841838099)"
"5-4-01","89","44","45","10","8","4","8","10","8","12","16","8","5","40","41,5423350806821","2,42463466628069","POINT (2.42463466628069 41.5423350806821)"
"5-3-01","392","183","209","55","56","29","41","54","69","32","34","13","9","83","41,5426248251973","2,4257115772699","POINT (2.4257115772699 41.5426248251973)"
"4-6-03","106","53","53","9","10","4","4","12","14","18","18","10","7","45","41,5426921475434","2,4343389972828","POINT (2.4343389972828 41.5426921475434)"
